,MethodA,MethodB,ReferenceCount
0,org.mybatis.jpetstore.domain.Order.getLocale,org.mybatis.jpetstore.domain.Order.locale,1
0,org.mybatis.jpetstore.domain.Order.getOrderDate,org.mybatis.jpetstore.domain.Order.orderDate,1
0,org.mybatis.jpetstore.domain.Order.getOrderId,org.mybatis.jpetstore.domain.Order.orderId,1
0,org.mybatis.jpetstore.domain.Order.getShipAddress1,org.mybatis.jpetstore.domain.Order.shipAddress1,1
0,org.mybatis.jpetstore.domain.Order.getShipAddress2,org.mybatis.jpetstore.domain.Order.shipAddress2,1
0,org.mybatis.jpetstore.domain.Order.getShipCity,org.mybatis.jpetstore.domain.Order.shipCity,1
0,org.mybatis.jpetstore.domain.Order.getShipCountry,org.mybatis.jpetstore.domain.Order.shipCountry,1
0,org.mybatis.jpetstore.domain.Order.getShipState,org.mybatis.jpetstore.domain.Order.shipState,1
0,org.mybatis.jpetstore.domain.Order.getShipToFirstName,org.mybatis.jpetstore.domain.Order.shipToFirstName,1
0,org.mybatis.jpetstore.domain.Order.getShipToLastName,org.mybatis.jpetstore.domain.Order.shipToLastName,1
0,org.mybatis.jpetstore.domain.Order.getShipZip,org.mybatis.jpetstore.domain.Order.shipZip,1
0,org.mybatis.jpetstore.domain.Order.getStatus,org.mybatis.jpetstore.domain.Order.status,1
0,org.mybatis.jpetstore.domain.Order.getTotalPrice,org.mybatis.jpetstore.domain.Order.totalPrice,1
0,org.mybatis.jpetstore.domain.Order.getUsername,org.mybatis.jpetstore.domain.Order.username,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getAddress1,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getAddress2,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getCity,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getCountry,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getFirstName,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getLastName,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getState,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getUsername,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getZip,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Cart.getAllCartItems,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Cart.getSubTotal,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.addLineItem,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.billAddress1,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.billAddress2,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.billCity,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.billCountry,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.billState,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.billToFirstName,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.billToLastName,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.billZip,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.cardType,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.courier,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.creditCard,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.expiryDate,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.locale,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.orderDate,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.shipAddress1,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.shipAddress2,1
